category,situation,prompt,response_a,response_b,human_choice
Assertiveness,Price disagreement,I think what my cousin is charging or asking for is too much.,Ask directly for the reasoning and mention your expectation.,Accept it to avoid an awkward conversation.,0
Active Listening,Long story,My manager is telling a long story and I'm losing focus.,Stay present and ask a question about a detail to re-engage.,Let your mind wander until they get to the point.,0
Workplace Communication,Difficult email,I need to email my cousin about a mistake that affected me.,State the issue factually and propose next steps.,Cc other people right away so the issue is taken seriously.,0
Handling Criticism,Harsh review,I received a harsh review from my study partner that felt more personal than helpful.,Separate the useful points from the tone and ask a focused follow-up.,Dismiss the whole review since the tone felt unfair.,0
Conflict Resolution,Money dispute,My neighbor owes me money and hasn't brought it up.,Drop hints about it and hope they take the hint.,"Bring it up directly but kindly, mentioning the specific amount.",1
Workplace Communication,Difficult email,I need to email my new employee about a mistake that affected me.,Cc other people right away so the issue is taken seriously.,State the issue factually and propose next steps.,1
Setting Boundaries,Space boundary,My close friend drops by unannounced more than I'd like.,Let it continue and just seem busy when they show up.,Ask them kindly to check in before coming over.,1
Starting Conversations,Shared wait,I'm waiting for a bus with my manager and want to strike up a chat.,Comment on something happening around you and see if they engage.,Ask them directly if they want to talk to pass the time.,0
Starting Conversations,New coworker,My cousin just joined and I want to introduce myself well.,Introduce yourself briefly and ask one easy question about their first days.,Give them a long rundown of how everything works before they've settled in.,0
Assertiveness,Unfair blame,I got blamed for something that wasn't my fault by my mentor.,Let it go since bringing it up might seem difficult.,"Explain calmly what actually happened, with specifics.",1
Starting Conversations,Shared wait,I'm waiting for a bus with my cousin and want to strike up a chat.,Comment on something happening around you and see if they engage.,Ask them directly if they want to talk to pass the time.,0
Active Listening,Long story,My cousin is telling a long story and I'm losing focus.,Let your mind wander until they get to the point.,Stay present and ask a question about a detail to re-engage.,1
Handling Criticism,Performance review,My sibling gave me a performance review lower than expected.,Ask for specific examples so you understand exactly what to improve.,Push back on the rating before hearing the full explanation.,0
Empathy,Feeling excluded,My team lead mentions feeling left out of a group.,"Validate the feeling before figuring out what, if anything, to do next.",Tell them they're overreacting and it's probably not personal.,0
Handling Criticism,Harsh review,I received a harsh review from my sibling that felt more personal than helpful.,Dismiss the whole review since the tone felt unfair.,Separate the useful points from the tone and ask a focused follow-up.,1
Active Listening,Complaint,My coworker is complaining about something that affects them directly.,Apologize briefly and move on to explaining the policy or reasoning.,Repeat their concern back in your own words before responding.,1
